time, distance, loudness, loudness2, touch, orientationX, orientationY, orientationZ, accelerationX, accelerationY, accelerationZ
1557680754.031101,510,296,293,0,-0.585232,0.111070,-0.044108,0.033264,-0.125000,1.115845
1557680754.210835,510,78,76,0,-0.575897,0.102998,-0.047416,0.052673,-0.114868,1.110046
1557680754.390261,509,74,72,0,-0.569919,0.109757,-0.037630,0.041382,-0.121216,1.099182
1557680754.569686,509,87,89,0,-0.575631,0.113400,-0.040577,0.047424,-0.126831,1.117004
1557680754.750420,509,87,85,0,-0.564163,0.119721,-0.039080,0.041260,-0.115173,1.105957
1557680754.931266,509,84,81,0,-0.576772,0.117857,-0.039754,0.059692,-0.130005,1.113281
1557680755.112164,509,104,99,0,-0.643216,0.128955,-0.060052,0.064575,-0.139526,1.152161
1557680755.293085,509,81,81,0,-0.548276,0.113334,-0.035693,0.038635,-0.123230,1.081970
1557680755.473981,509,104,103,0,-0.571273,0.111685,-0.034256,0.038452,-0.125916,1.122070
1557680755.654826,509,103,107,0,-0.636289,0.117520,-0.057703,0.032776,-0.137756,1.101624
1557680755.897304,509,132,127,0,-0.659217,0.134832,-0.058483,0.063721,-0.147888,1.152527
1557680756.078157,509,86,80,0,-0.582634,0.119587,-0.022824,0.024414,-0.128540,1.069458
1557680756.258981,509,115,110,0,-0.583738,0.100638,-0.036533,0.039429,-0.109009,1.078796
1557680756.439894,509,89,88,0,-0.622088,0.116706,-0.048235,0.053467,-0.130005,1.107605
1557680756.620762,509,93,91,0,-0.606495,0.103066,-0.047628,0.042664,-0.127014,1.098694
1557680756.801615,509,134,143,0,-0.605436,0.116323,-0.042974,0.070251,-0.128174,1.157410
1557680756.982440,509,83,85,0,-0.557926,0.118482,-0.021550,0.023865,-0.103760,1.123779
1557680757.163348,192,84,81,0,-0.585059,0.110225,-0.047473,0.051453,-0.119995,1.098022
1557680757.344916,192,99,98,0,-0.591258,0.114036,-0.046620,0.052551,-0.129150,1.126404
1557680757.525685,509,84,83,0,-0.565522,0.105227,-0.026032,0.028564,-0.115906,1.097046
1557680757.706512,509,88,86,0,-0.609826,0.118036,-0.046081,0.050476,-0.129944,1.094604
1557680757.887342,509,89,86,0,-0.576296,0.107054,-0.041217,0.046021,-0.122681,1.102600
1557680758.068193,509,116,113,0,-0.572053,0.111195,-0.021136,0.083740,-0.122681,1.116272
1557680758.249143,509,77,75,0,-0.576397,0.105160,-0.035246,0.023010,-0.132080,1.091919
1557680758.430092,509,99,98,0,-0.580252,0.108931,-0.037241,0.041870,-0.122986,1.108154
1557680758.610996,509,167,163,0,-0.568959,0.127023,-0.011863,0.012512,-0.134705,1.054688
1557680758.791861,509,83,80,0,-0.611701,0.102671,-0.050895,0.057922,-0.117310,1.137085
1557680758.972788,509,91,95,0,-0.571354,0.113303,-0.031200,0.035522,-0.129578,1.138184
1557680759.153698,509,90,87,0,-0.653997,0.119139,-0.058775,0.045837,-0.115784,1.096375
1557680759.334630,509,88,87,0,-0.565724,0.109861,-0.028753,0.056274,-0.133423,1.121399
1557680759.515422,509,88,85,0,-0.565638,0.098105,-0.039796,0.044189,-0.113220,1.099976
1557680759.696394,509,89,88,0,-0.585205,0.113185,-0.035924,0.039612,-0.125366,1.102173
